consumer_id,rank,score,title,body,keyword,url,title_length,body_length,cuisines_preference,foods_preference,taste_preference,dietary_preference
1193328057,1,98,Noodle cravings covered,🍜 Hot bowls and hand-pulled options ready from spots you'll love,noodles,https://www.doordash.com/search/store/noodles?event_type=search&filterQuery-vertical_ids=1,23,64,"Chinese (Sichuan, Mandarin), Korean, Thai, Japanese, Mexican – primary focus on authentic Chinese and Korean dishes with","Rice bowls, noodle soups, dumplings, fajitas, and mixed salads – with recurrent orders of lunch combos and dinner entree","Robust umami flavors with moderate spiciness and savory profiles, frequently enhanced by garlic and ",none: no consistent modifications clearly indicating a dedicated health‐restricted or plant‐only regimen
1193328057,2,96,Skip the schlep,"Get dumplings, rice dishes, and bold flavors delivered from top spots",Chinese food,https://www.doordash.com/search/store/Chinese%20food?event_type=search&filterQuery-vertical_ids=1,15,69,"Chinese (Sichuan, Mandarin), Korean, Thai, Japanese, Mexican – primary focus on authentic Chinese and Korean dishes with","Rice bowls, noodle soups, dumplings, fajitas, and mixed salads – with recurrent orders of lunch combos and dinner entree","Robust umami flavors with moderate spiciness and savory profiles, frequently enhanced by garlic and ",none: no consistent modifications clearly indicating a dedicated health‐restricted or plant‐only regimen
1193328057,3,94,You pick. We roll,Build your perfect bowl with fresh ingredients from places nearby,rice bowls,https://www.doordash.com/search/store/rice%20bowls?event_type=search&filterQuery-vertical_ids=1,17,65,"Chinese (Sichuan, Mandarin), Korean, Thai, Japanese, Mexican – primary focus on authentic Chinese and Korean dishes with","Rice bowls, noodle soups, dumplings, fajitas, and mixed salads – with recurrent orders of lunch combos and dinner entree","Robust umami flavors with moderate spiciness and savory profiles, frequently enhanced by garlic and ",none: no consistent modifications clearly indicating a dedicated health‐restricted or plant‐only regimen
1193328057,4,90,Taco time,"Fresh tacos, burritos, and more ready to order from nearby favorites",Mexican,https://www.doordash.com/search/store/Mexican?event_type=search&filterQuery-vertical_ids=1,9,68,"Chinese (Sichuan, Mandarin), Korean, Thai, Japanese, Mexican – primary focus on authentic Chinese and Korean dishes with","Rice bowls, noodle soups, dumplings, fajitas, and mixed salads – with recurrent orders of lunch combos and dinner entree","Robust umami flavors with moderate spiciness and savory profiles, frequently enhanced by garlic and ",none: no consistent modifications clearly indicating a dedicated health‐restricted or plant‐only regimen
1193328057,5,84,Sushi and ramen ready,Fresh rolls and rich broths from spots you'll want to reorder,Japanese food,https://www.doordash.com/search/store/Japanese%20food?event_type=search&filterQuery-vertical_ids=1,21,61,"Chinese (Sichuan, Mandarin), Korean, Thai, Japanese, Mexican – primary focus on authentic Chinese and Korean dishes with","Rice bowls, noodle soups, dumplings, fajitas, and mixed salads – with recurrent orders of lunch combos and dinner entree","Robust umami flavors with moderate spiciness and savory profiles, frequently enhanced by garlic and ",none: no consistent modifications clearly indicating a dedicated health‐restricted or plant‐only regimen
1193328057,6,82,Curry cravings,Get bold Thai curries and stir-fries delivered in 30 min,Thai food,https://www.doordash.com/search/store/Thai%20food?event_type=search&filterQuery-vertical_ids=1,14,56,"Chinese (Sichuan, Mandarin), Korean, Thai, Japanese, Mexican – primary focus on authentic Chinese and Korean dishes with","Rice bowls, noodle soups, dumplings, fajitas, and mixed salads – with recurrent orders of lunch combos and dinner entree","Robust umami flavors with moderate spiciness and savory profiles, frequently enhanced by garlic and ",none: no consistent modifications clearly indicating a dedicated health‐restricted or plant‐only regimen
1193328057,7,82,Korean favorites nearby,"From bibimbap to Korean fried chicken, flavors you'll love",Korean food,https://www.doordash.com/search/store/Korean%20food?event_type=search&filterQuery-vertical_ids=1,23,58,"Chinese (Sichuan, Mandarin), Korean, Thai, Japanese, Mexican – primary focus on authentic Chinese and Korean dishes with","Rice bowls, noodle soups, dumplings, fajitas, and mixed salads – with recurrent orders of lunch combos and dinner entree","Robust umami flavors with moderate spiciness and savory profiles, frequently enhanced by garlic and ",none: no consistent modifications clearly indicating a dedicated health‐restricted or plant‐only regimen
1193328057,8,80,Your go-tos are here,Reorder favorites or find something new worth trying,restaurants,https://www.doordash.com/search/store/restaurants?event_type=search&filterQuery-vertical_ids=1,20,52,"Chinese (Sichuan, Mandarin), Korean, Thai, Japanese, Mexican – primary focus on authentic Chinese and Korean dishes with","Rice bowls, noodle soups, dumplings, fajitas, and mixed salads – with recurrent orders of lunch combos and dinner entree","Robust umami flavors with moderate spiciness and savory profiles, frequently enhanced by garlic and ",none: no consistent modifications clearly indicating a dedicated health‐restricted or plant‐only regimen
1193328057,9,80,Fresh bowls nearby,Build your perfect meal with options that keep it light,healthy food,https://www.doordash.com/search/store/healthy%20food?event_type=search&filterQuery-vertical_ids=1,18,55,"Chinese (Sichuan, Mandarin), Korean, Thai, Japanese, Mexican – primary focus on authentic Chinese and Korean dishes with","Rice bowls, noodle soups, dumplings, fajitas, and mixed salads – with recurrent orders of lunch combos and dinner entree","Robust umami flavors with moderate spiciness and savory profiles, frequently enhanced by garlic and ",none: no consistent modifications clearly indicating a dedicated health‐restricted or plant‐only regimen
1036295588,1,98,Noodle cravings covered,🍜 Hot bowls and hand-pulled options ready from spots you'll love,noodles,https://www.doordash.com/search/store/noodles?event_type=search&filterQuery-vertical_ids=1,23,64,"American (fast food, McDonald's), Chinese (Sichuan, Shanghainese), Vietnamese, Korean, Italian (pizza)","Chicken sandwiches, chicken nuggets, pho, dumplings, noodles, and occasional specialty items like scallion pancakes","Savory, classic fast food and comfort flavors with occasional spicy Chinese and Vietnamese influence",none: orders do not show consistent modifications for dietary restrictions
1036295588,2,96,Skip the schlep,"Get dumplings, rice dishes, and bold flavors delivered from top spots",Chinese food,https://www.doordash.com/search/store/Chinese%20food?event_type=search&filterQuery-vertical_ids=1,15,69,"American (fast food, McDonald's), Chinese (Sichuan, Shanghainese), Vietnamese, Korean, Italian (pizza)","Chicken sandwiches, chicken nuggets, pho, dumplings, noodles, and occasional specialty items like scallion pancakes","Savory, classic fast food and comfort flavors with occasional spicy Chinese and Vietnamese influence",none: orders do not show consistent modifications for dietary restrictions
1036295588,3,92,Heat seekers wanted,"Get bold, spicy flavors from restaurants that bring it",spicy food,https://www.doordash.com/search/store/spicy%20food?event_type=search&filterQuery-vertical_ids=1,19,54,"American (fast food, McDonald's), Chinese (Sichuan, Shanghainese), Vietnamese, Korean, Italian (pizza)","Chicken sandwiches, chicken nuggets, pho, dumplings, noodles, and occasional specialty items like scallion pancakes","Savory, classic fast food and comfort flavors with occasional spicy Chinese and Vietnamese influence",none: orders do not show consistent modifications for dietary restrictions
1036295588,4,88,Pizza. Done,"Thin crust to deep dish, they're all just a tap away",pizza,https://www.doordash.com/search/store/pizza?event_type=search&filterQuery-vertical_ids=1,11,52,"American (fast food, McDonald's), Chinese (Sichuan, Shanghainese), Vietnamese, Korean, Italian (pizza)","Chicken sandwiches, chicken nuggets, pho, dumplings, noodles, and occasional specialty items like scallion pancakes","Savory, classic fast food and comfort flavors with occasional spicy Chinese and Vietnamese influence",none: orders do not show consistent modifications for dietary restrictions
1036295588,5,86,Burgers your way,"Classic or loaded, get them delivered hot and ready",burgers,https://www.doordash.com/search/store/burgers?event_type=search&filterQuery-vertical_ids=1,16,51,"American (fast food, McDonald's), Chinese (Sichuan, Shanghainese), Vietnamese, Korean, Italian (pizza)","Chicken sandwiches, chicken nuggets, pho, dumplings, noodles, and occasional specialty items like scallion pancakes","Savory, classic fast food and comfort flavors with occasional spicy Chinese and Vietnamese influence",none: orders do not show consistent modifications for dietary restrictions
1036295588,6,82,Pho and more,Fresh Vietnamese flavors from noodle soups to banh mi sandwiches,Vietnamese food,https://www.doordash.com/search/store/Vietnamese%20food?event_type=search&filterQuery-vertical_ids=1,12,64,"American (fast food, McDonald's), Chinese (Sichuan, Shanghainese), Vietnamese, Korean, Italian (pizza)","Chicken sandwiches, chicken nuggets, pho, dumplings, noodles, and occasional specialty items like scallion pancakes","Savory, classic fast food and comfort flavors with occasional spicy Chinese and Vietnamese influence",none: orders do not show consistent modifications for dietary restrictions
1036295588,7,82,Korean favorites nearby,"From bibimbap to Korean fried chicken, flavors you'll love",Korean food,https://www.doordash.com/search/store/Korean%20food?event_type=search&filterQuery-vertical_ids=1,23,58,"American (fast food, McDonald's), Chinese (Sichuan, Shanghainese), Vietnamese, Korean, Italian (pizza)","Chicken sandwiches, chicken nuggets, pho, dumplings, noodles, and occasional specialty items like scallion pancakes","Savory, classic fast food and comfort flavors with occasional spicy Chinese and Vietnamese influence",none: orders do not show consistent modifications for dietary restrictions
1036295588,8,80,Your go-tos are here,Reorder favorites or find something new worth trying,restaurants,https://www.doordash.com/search/store/restaurants?event_type=search&filterQuery-vertical_ids=1,20,52,"American (fast food, McDonald's), Chinese (Sichuan, Shanghainese), Vietnamese, Korean, Italian (pizza)","Chicken sandwiches, chicken nuggets, pho, dumplings, noodles, and occasional specialty items like scallion pancakes","Savory, classic fast food and comfort flavors with occasional spicy Chinese and Vietnamese influence",none: orders do not show consistent modifications for dietary restrictions
1860023262,1,98,Noodle cravings covered,🍜 Hot bowls and hand-pulled options ready from spots you'll love,noodles,https://www.doordash.com/search/store/noodles?event_type=search&filterQuery-vertical_ids=1,23,64,"American (fast‐casual, comfort food), Thai (traditional curries and stir‐fried noodles), Mediterranean (Middle Eastern s","Customizable rice/burrito bowls, salads, and donburi complemented by spicy wings and hearty breakfast items, with occasi","Savory, spicy and robust flavor profiles with frequent requests for extra sauce or spice modificatio",High-Protein: recurring extra chicken and protein add-ons with customizations aimed at lean protein enhancement
1860023262,2,94,You pick. We roll,Build your perfect bowl with fresh ingredients from places nearby,rice bowls,https://www.doordash.com/search/store/rice%20bowls?event_type=search&filterQuery-vertical_ids=1,17,65,"American (fast‐casual, comfort food), Thai (traditional curries and stir‐fried noodles), Mediterranean (Middle Eastern s","Customizable rice/burrito bowls, salads, and donburi complemented by spicy wings and hearty breakfast items, with occasi","Savory, spicy and robust flavor profiles with frequent requests for extra sauce or spice modificatio",High-Protein: recurring extra chicken and protein add-ons with customizations aimed at lean protein enhancement
1860023262,3,92,Heat seekers wanted,"Get bold, spicy flavors from restaurants that bring it",spicy food,https://www.doordash.com/search/store/spicy%20food?event_type=search&filterQuery-vertical_ids=1,19,54,"American (fast‐casual, comfort food), Thai (traditional curries and stir‐fried noodles), Mediterranean (Middle Eastern s","Customizable rice/burrito bowls, salads, and donburi complemented by spicy wings and hearty breakfast items, with occasi","Savory, spicy and robust flavor profiles with frequent requests for extra sauce or spice modificatio",High-Protein: recurring extra chicken and protein add-ons with customizations aimed at lean protein enhancement
1860023262,4,90,Taco time,"Fresh tacos, burritos, and more ready to order from nearby favorites",Mexican,https://www.doordash.com/search/store/Mexican?event_type=search&filterQuery-vertical_ids=1,9,68,"American (fast‐casual, comfort food), Thai (traditional curries and stir‐fried noodles), Mediterranean (Middle Eastern s","Customizable rice/burrito bowls, salads, and donburi complemented by spicy wings and hearty breakfast items, with occasi","Savory, spicy and robust flavor profiles with frequent requests for extra sauce or spice modificatio",High-Protein: recurring extra chicken and protein add-ons with customizations aimed at lean protein enhancement
1860023262,5,88,Pizza. Done,"Thin crust to deep dish, they're all just a tap away",pizza,https://www.doordash.com/search/store/pizza?event_type=search&filterQuery-vertical_ids=1,11,52,"American (fast‐casual, comfort food), Thai (traditional curries and stir‐fried noodles), Mediterranean (Middle Eastern s","Customizable rice/burrito bowls, salads, and donburi complemented by spicy wings and hearty breakfast items, with occasi","Savory, spicy and robust flavor profiles with frequent requests for extra sauce or spice modificatio",High-Protein: recurring extra chicken and protein add-ons with customizations aimed at lean protein enhancement
1860023262,6,82,Curry cravings,Get bold Thai curries and stir-fries delivered in 30 min,Thai food,https://www.doordash.com/search/store/Thai%20food?event_type=search&filterQuery-vertical_ids=1,14,56,"American (fast‐casual, comfort food), Thai (traditional curries and stir‐fried noodles), Mediterranean (Middle Eastern s","Customizable rice/burrito bowls, salads, and donburi complemented by spicy wings and hearty breakfast items, with occasi","Savory, spicy and robust flavor profiles with frequent requests for extra sauce or spice modificatio",High-Protein: recurring extra chicken and protein add-ons with customizations aimed at lean protein enhancement
1860023262,7,82,Mediterranean picks,"Fresh gyros, falafel, and hummus from spots worth reordering",Mediterranean food,https://www.doordash.com/search/store/Mediterranean%20food?event_type=search&filterQuery-vertical_ids=1,19,60,"American (fast‐casual, comfort food), Thai (traditional curries and stir‐fried noodles), Mediterranean (Middle Eastern s","Customizable rice/burrito bowls, salads, and donburi complemented by spicy wings and hearty breakfast items, with occasi","Savory, spicy and robust flavor profiles with frequent requests for extra sauce or spice modificatio",High-Protein: recurring extra chicken and protein add-ons with customizations aimed at lean protein enhancement
1860023262,8,80,Your go-tos are here,Reorder favorites or find something new worth trying,restaurants,https://www.doordash.com/search/store/restaurants?event_type=search&filterQuery-vertical_ids=1,20,52,"American (fast‐casual, comfort food), Thai (traditional curries and stir‐fried noodles), Mediterranean (Middle Eastern s","Customizable rice/burrito bowls, salads, and donburi complemented by spicy wings and hearty breakfast items, with occasi","Savory, spicy and robust flavor profiles with frequent requests for extra sauce or spice modificatio",High-Protein: recurring extra chicken and protein add-ons with customizations aimed at lean protein enhancement
1860023262,9,80,Fresh bowls nearby,Build your perfect meal with options that keep it light,healthy food,https://www.doordash.com/search/store/healthy%20food?event_type=search&filterQuery-vertical_ids=1,18,55,"American (fast‐casual, comfort food), Thai (traditional curries and stir‐fried noodles), Mediterranean (Middle Eastern s","Customizable rice/burrito bowls, salads, and donburi complemented by spicy wings and hearty breakfast items, with occasi","Savory, spicy and robust flavor profiles with frequent requests for extra sauce or spice modificatio",High-Protein: recurring extra chicken and protein add-ons with customizations aimed at lean protein enhancement
1860023262,10,80,Start the day right,"Hot coffee, fresh bagels, and breakfast sandwiches ready to go",breakfast,https://www.doordash.com/search/store/breakfast?event_type=search&filterQuery-vertical_ids=1,19,62,"American (fast‐casual, comfort food), Thai (traditional curries and stir‐fried noodles), Mediterranean (Middle Eastern s","Customizable rice/burrito bowls, salads, and donburi complemented by spicy wings and hearty breakfast items, with occasi","Savory, spicy and robust flavor profiles with frequent requests for extra sauce or spice modificatio",High-Protein: recurring extra chicken and protein add-ons with customizations aimed at lean protein enhancement
1898143015,1,94,You pick. We roll,Build your perfect bowl with fresh ingredients from places nearby,rice bowls,https://www.doordash.com/search/store/rice%20bowls?event_type=search&filterQuery-vertical_ids=1,17,65,"Japanese (donburi, sushi rolls), Italian (pastas, pizzas), Indian (naans, curries), Mediterranean (Greek, Middle Eastern","Rice bowls like LOCO MOCO DON, customizable burgers, pasta and pizza dishes, assorted appetizers and share plates","Savory with a leaning towards spicy, customizable flavors",none
1898143015,2,92,Heat seekers wanted,"Get bold, spicy flavors from restaurants that bring it",spicy food,https://www.doordash.com/search/store/spicy%20food?event_type=search&filterQuery-vertical_ids=1,19,54,"Japanese (donburi, sushi rolls), Italian (pastas, pizzas), Indian (naans, curries), Mediterranean (Greek, Middle Eastern","Rice bowls like LOCO MOCO DON, customizable burgers, pasta and pizza dishes, assorted appetizers and share plates","Savory with a leaning towards spicy, customizable flavors",none
1898143015,3,88,Pizza. Done,"Thin crust to deep dish, they're all just a tap away",pizza,https://www.doordash.com/search/store/pizza?event_type=search&filterQuery-vertical_ids=1,11,52,"Japanese (donburi, sushi rolls), Italian (pastas, pizzas), Indian (naans, curries), Mediterranean (Greek, Middle Eastern","Rice bowls like LOCO MOCO DON, customizable burgers, pasta and pizza dishes, assorted appetizers and share plates","Savory with a leaning towards spicy, customizable flavors",none
1898143015,4,86,Burgers your way,"Classic or loaded, get them delivered hot and ready",burgers,https://www.doordash.com/search/store/burgers?event_type=search&filterQuery-vertical_ids=1,16,51,"Japanese (donburi, sushi rolls), Italian (pastas, pizzas), Indian (naans, curries), Mediterranean (Greek, Middle Eastern","Rice bowls like LOCO MOCO DON, customizable burgers, pasta and pizza dishes, assorted appetizers and share plates","Savory with a leaning towards spicy, customizable flavors",none
1898143015,5,84,Sushi and ramen ready,Fresh rolls and rich broths from spots you'll want to reorder,Japanese food,https://www.doordash.com/search/store/Japanese%20food?event_type=search&filterQuery-vertical_ids=1,21,61,"Japanese (donburi, sushi rolls), Italian (pastas, pizzas), Indian (naans, curries), Mediterranean (Greek, Middle Eastern","Rice bowls like LOCO MOCO DON, customizable burgers, pasta and pizza dishes, assorted appetizers and share plates","Savory with a leaning towards spicy, customizable flavors",none
1898143015,6,82,Curry and more,"Bold Indian flavors from tikka masala to biryani, all nearby",Indian food,https://www.doordash.com/search/store/Indian%20food?event_type=search&filterQuery-vertical_ids=1,14,60,"Japanese (donburi, sushi rolls), Italian (pastas, pizzas), Indian (naans, curries), Mediterranean (Greek, Middle Eastern","Rice bowls like LOCO MOCO DON, customizable burgers, pasta and pizza dishes, assorted appetizers and share plates","Savory with a leaning towards spicy, customizable flavors",none
1898143015,7,82,Mediterranean picks,"Fresh gyros, falafel, and hummus from spots worth reordering",Mediterranean food,https://www.doordash.com/search/store/Mediterranean%20food?event_type=search&filterQuery-vertical_ids=1,19,60,"Japanese (donburi, sushi rolls), Italian (pastas, pizzas), Indian (naans, curries), Mediterranean (Greek, Middle Eastern","Rice bowls like LOCO MOCO DON, customizable burgers, pasta and pizza dishes, assorted appetizers and share plates","Savory with a leaning towards spicy, customizable flavors",none
1898143015,8,80,Your go-tos are here,Reorder favorites or find something new worth trying,restaurants,https://www.doordash.com/search/store/restaurants?event_type=search&filterQuery-vertical_ids=1,20,52,"Japanese (donburi, sushi rolls), Italian (pastas, pizzas), Indian (naans, curries), Mediterranean (Greek, Middle Eastern","Rice bowls like LOCO MOCO DON, customizable burgers, pasta and pizza dishes, assorted appetizers and share plates","Savory with a leaning towards spicy, customizable flavors",none
1898143015,9,80,Fresh bowls nearby,Build your perfect meal with options that keep it light,healthy food,https://www.doordash.com/search/store/healthy%20food?event_type=search&filterQuery-vertical_ids=1,18,55,"Japanese (donburi, sushi rolls), Italian (pastas, pizzas), Indian (naans, curries), Mediterranean (Greek, Middle Eastern","Rice bowls like LOCO MOCO DON, customizable burgers, pasta and pizza dishes, assorted appetizers and share plates","Savory with a leaning towards spicy, customizable flavors",none
1917310173,1,98,Noodle cravings covered,🍜 Hot bowls and hand-pulled options ready from spots you'll love,noodles,https://www.doordash.com/search/store/noodles?event_type=search&filterQuery-vertical_ids=1,23,64,"Japanese (authentic ramen and izakaya dishes), Korean (traditional fried chicken and street fare), Filipino (signature C","Fried chicken (both Korean and Filipino styles), ramen and noodle soups, burgers and sandwich combos, with occasional pi","Bold, spicy and umami flavors with a propensity for garlicky, savory profiles",Low Sodium: several orders feature modifications such as 'Low Sodium Garlic Tonkotsu' indicating a health‐conscious adjustment
1917310173,2,96,Skip the schlep,"Get dumplings, rice dishes, and bold flavors delivered from top spots",Chinese food,https://www.doordash.com/search/store/Chinese%20food?event_type=search&filterQuery-vertical_ids=1,15,69,"Japanese (authentic ramen and izakaya dishes), Korean (traditional fried chicken and street fare), Filipino (signature C","Fried chicken (both Korean and Filipino styles), ramen and noodle soups, burgers and sandwich combos, with occasional pi","Bold, spicy and umami flavors with a propensity for garlicky, savory profiles",Low Sodium: several orders feature modifications such as 'Low Sodium Garlic Tonkotsu' indicating a health‐conscious adjustment
1917310173,3,92,Heat seekers wanted,"Get bold, spicy flavors from restaurants that bring it",spicy food,https://www.doordash.com/search/store/spicy%20food?event_type=search&filterQuery-vertical_ids=1,19,54,"Japanese (authentic ramen and izakaya dishes), Korean (traditional fried chicken and street fare), Filipino (signature C","Fried chicken (both Korean and Filipino styles), ramen and noodle soups, burgers and sandwich combos, with occasional pi","Bold, spicy and umami flavors with a propensity for garlicky, savory profiles",Low Sodium: several orders feature modifications such as 'Low Sodium Garlic Tonkotsu' indicating a health‐conscious adjustment
1917310173,4,88,Pizza. Done,"Thin crust to deep dish, they're all just a tap away",pizza,https://www.doordash.com/search/store/pizza?event_type=search&filterQuery-vertical_ids=1,11,52,"Japanese (authentic ramen and izakaya dishes), Korean (traditional fried chicken and street fare), Filipino (signature C","Fried chicken (both Korean and Filipino styles), ramen and noodle soups, burgers and sandwich combos, with occasional pi","Bold, spicy and umami flavors with a propensity for garlicky, savory profiles",Low Sodium: several orders feature modifications such as 'Low Sodium Garlic Tonkotsu' indicating a health‐conscious adjustment
1917310173,5,86,Burgers your way,"Classic or loaded, get them delivered hot and ready",burgers,https://www.doordash.com/search/store/burgers?event_type=search&filterQuery-vertical_ids=1,16,51,"Japanese (authentic ramen and izakaya dishes), Korean (traditional fried chicken and street fare), Filipino (signature C","Fried chicken (both Korean and Filipino styles), ramen and noodle soups, burgers and sandwich combos, with occasional pi","Bold, spicy and umami flavors with a propensity for garlicky, savory profiles",Low Sodium: several orders feature modifications such as 'Low Sodium Garlic Tonkotsu' indicating a health‐conscious adjustment
1917310173,6,84,Sushi and ramen ready,Fresh rolls and rich broths from spots you'll want to reorder,Japanese food,https://www.doordash.com/search/store/Japanese%20food?event_type=search&filterQuery-vertical_ids=1,21,61,"Japanese (authentic ramen and izakaya dishes), Korean (traditional fried chicken and street fare), Filipino (signature C","Fried chicken (both Korean and Filipino styles), ramen and noodle soups, burgers and sandwich combos, with occasional pi","Bold, spicy and umami flavors with a propensity for garlicky, savory profiles",Low Sodium: several orders feature modifications such as 'Low Sodium Garlic Tonkotsu' indicating a health‐conscious adjustment
1917310173,7,82,Korean favorites nearby,"From bibimbap to Korean fried chicken, flavors you'll love",Korean food,https://www.doordash.com/search/store/Korean%20food?event_type=search&filterQuery-vertical_ids=1,23,58,"Japanese (authentic ramen and izakaya dishes), Korean (traditional fried chicken and street fare), Filipino (signature C","Fried chicken (both Korean and Filipino styles), ramen and noodle soups, burgers and sandwich combos, with occasional pi","Bold, spicy and umami flavors with a propensity for garlicky, savory profiles",Low Sodium: several orders feature modifications such as 'Low Sodium Garlic Tonkotsu' indicating a health‐conscious adjustment
